ID,名字,技能ID列表,组合技能ID,模型ID,品质,职业,种族,性别,描述,基础战力,成长系数,荣誉碎片,觉醒次数上限,神殿出现概率权重,神殿兑换该英雄的花费,招募权重,怪物副本用到,获奖感言
10122,魔化铁匠,11001,,1069,0,魔人,人类,无,受以太潮影响魔化后的人类。,65,9.1,2,3,0,0,300;250;225;200;0;0;0,,……
10123,魔化祭司,11001,,1070,0,魔人,人类,无,受以太潮影响魔化后的人类。,66,9.2,2,3,0,0,300;250;225;200;0;0;0,,……
10124,魔化长老,11001,,1071,0,魔人,人类,无,受以太潮影响魔化后的人类。,67,9.3,2,3,0,0,300;250;225;200;0;0;0,,……
10125,骷髅兵,10092,,1074,0,士兵,亡灵,无,寂寞的时候，他是不个错的倾诉对象，他总会用空洞的眼睛看着你，然后发出咯咯声。,68,9.4,2,3,0,0,300;250;225;200;0;0;0,,……
10126,地精,11001,,1075,0,矿工,地精,无,他徒手就能挖下钻石矿。当然，这只是个传说，通常他只是地表挖一些铜而已。,69,9.3,2,3,0,0,300;250;225;200;0;0;0,,矿石是我的！
10127,剧毒食人花,10087,,1081,0,食人花,植物,无,千万不要被剧毒食人花包围。,70,9.5,2,3,0,0,300;250;225;200;0;0;0,,……
10128,沉默的羔羊,11003,,1044,0,家畜,动物,无,连环杀手最易得手的目标。,71,8.6,2,3,0,0,300;250;225;200;0;0;0,,……
10129,奶牛,11002,,1045,0,家畜,动物,无,奶牛有公牛嘛？？,72,8.8,2,3,0,0,300;250;225;200;0;0;0,,……
10130,棕色老马,,,1046,0,家畜,动物,无,累了时可以用来骑，但只有少数几个人能驯服它。,73,8.9,2,3,0,0,300;250;225;200;0;0;0,,……
10005,守护士兵,10005,,1128,0,士兵,人类,男,一个普通的卫兵，看起来和其他卫兵没什么两样,85,8.6,2,3,0,0,300;250;225;200;0;0;0,,有谁需要守护？
10007,持刀护卫,10007,,1128,0,士兵,人类,男,城市中最普通不过的护卫。对于那些凶恶的不法分子，他们通常的处理方式是，假装没看见。,105,8.6,2,3,0,0,300;250;225;200;0;0;0,,你不能通过这里。
10008,静怡守卫,10008,,1021,0,士兵,精灵,女,发誓效忠于月神，但由于相貌平凡最终成为了月神偏殿的卫兵。,95,8.6,2,3,0,0,300;250;225;200;0;0;0,,月神会祝福你。
10011,长弓射手,10011,,1022,0,弓兵,精灵,女,她擅长使用长弓，在很远的距离就能一击必杀。,90,9,2,3,0,0,300;250;225;200;0;0;0,出战,瞄准……
10012,魔法学徒,10012,,1003,0,学徒,人类,男,他努力的学习，学习，学习。他找不到工作。,95,9.6,2,3,0,0,300;250;225;200;0;0;0,,你能教我这段咒语吗？
10013,可爱的小男孩,10013,,1097,0,熊孩子,人类,男,不知道是谁家的孩子。他似乎觉得冒险很有意思。,60,7.8,2,4,0,0,300;250;225;200;0;0;0,,这个是什么？
10014,路边的小女孩,10014,,1098,0,熊孩子,人类,女,不知道是谁家的孩子，让她加入真的好么？,65,8.2,2,4,0,0,300;250;225;200;0;0;0,,陪我玩，陪我玩嘛。
10015,努力的平凡人,10015,,1131,0,打工族,人类,男,他为了心中的目标一直努力着。不知道哪天他才能展现真正的潜能。,55,5.6,2,5,0,0,300;250;225;200;0;0;0,,我会努力的！
10016,拐杖老者,10016,,1140,0,忘记了,人类,男,他已经非常老了，总是拉着你感慨人生。,75,11.6,2,2,0,0,300;250;225;200;0;0;0,,人生就是一局棋，有进有退，有输也有赢。
10017,闲逛婆婆,0,,1144,0,忘记了,人类,女,她做了多年的家庭妇女，总在你耳边碎碎念。并且热衷于为你介绍“对象”。,89,10.6,2,3,0,0,300;250;225;200;0;0;0,,你也差不多该成家了啊。
10018,女佣,10018,,1118,0,女仆,人类,女,放着我来！,85,7.3,2,3,0,0,300;250;225;200;0;0;0,,放着我来。
10019,滑稽小丑,10019,,1119,0,杂耍者,人类,女,她的梦想是成为明星，但她只会讲一个笑话。,75,8.7,2,3,0,0,300;250;225;200;0;0;0,,一秒变格格。
10025,天才少年凯,10025,,1019,0,名人,人类,男,他年轻时就展现出过人的才华，只是这种才华没有持续多久。,365,11.9,2,4,0,0,300;250;225;200;0;0;0,出战,我是天才，啊哈哈哈。
10028,土豪,10028,,1108,0,商人,人类,男,我有的是血钻。想做我的朋友吗？,125,9.6,2,3,0,0,300;250;225;200;0;0;0,,想和我做朋友吗？
10029,不起眼的青年,10029,,1131,0,超能力者,超能力者,男,在学校好几年，班里也没有人叫的出他的名字，但如果你因为他的平凡而忽视他，你就错过了一个强大的人。,165,9.5,2,4,0,0,300;250;225;200;0;0;0,,……
10031,认真的小女孩,0,20004,1098,0,早熟小鬼,人类,女,她总是对事情过于认真，执着于自己认为对的事情。比如说坚信通过星座就能了解一个人。,95,10.8,2,2,0,0,300;250;225;200;0;0;0,,星座什么的最准了。
10032,圣诞驯鹿,10032,20004,1159,0,商场职员,人类,男,有时候单干，有时候跟着圣诞老人。,75,8.6,2,3,0,0,300;250;225;200;0;0;0,,圣诞快乐。
10033,圣诞杂耍者,10033,20004,1160,0,商场职员,人类,女,你觉得她总能躲开投来的飞刀，那是因为没能躲开的都不在了。,80,8.3,2,3,0,0,300;250;225;200;0;0;0,,圣诞快乐。
10079,史莱姆,0,,1083,0,怪物,怪物,无,极为低级的魔界生物，通常负责给勇者送经验。,65,7.1,2,2,0,0,300;250;225;200;0;0;0,,我负责给勇者送经验。
10080,绵羊,0,,1044,0,家畜,野兽,无,武功再高也怕变羊。咩~~~,70,7.1,2,5,0,0,300;250;225;200;0;0;0,,咩~
10081,老鼠,0,,1093,0,四害,野兽,无,带着它冒险时，所有队员都必须小心保管自己的奶酪。,75,7.1,2,3,0,0,300;250;225;200;0;0;0,,吱……吱……
10082,黄蜂,10082,,1091,0,昆虫,虫族,无,优秀的速度和不俗的攻击，值得信赖的初期伙伴。,80,8.6,2,4,0,0,300;250;225;200;0;0;0,,嗡嗡……么么…
10001,雷克萨,10001,,1003,1,猎户,人类,男,不知何时就和你成了好友。,307,10.5,15,3,0,0,110;210;255;300;0;0;0,,狩猎开始。
10002,莉莉,10002,,1016,1,炼金术士,精灵,女,精灵族一般不允许研究炼金术，但莉莉是个例外。,146,8,15,3,0,0,110;210;255;300;0;0;0,,你会喜欢我的新发明的！
10003,克罗达斯,10003,,1017,1,音乐家,人类,男,迷一般的身世，音乐也是他的战斗武器。,188,9.7,15,4,0,0,110;210;255;300;0;0;0,出战,我会为你弹奏最美妙的乐曲。
10006,利刃狂战士,10006,,1127,1,战士,人类,男,曾经效力于一个名为“黑手”的组织，但是“黑手”的手实在太黑了。最终组织被迫解散。,121,10,15,4,0,0,110;210;255;300;0;0;0,,我能需求这件装备吗？
10009,黑盾武士,10009,,1127,1,奴隶,人类,男,黑盾武士是贵族们付钱召集的肉搏的奴隶。他们其实通常不装备盾，主要武器是长刀。但为什么他们被称为黑盾武士呢？？,116,9.6,15,4,0,0,110;210;255;300;0;0;0,出战,如你所愿。
10010,无垢者,10010,20012,1051,1,奴隶,人类,无,无垢者没有欲望，没有恐惧，甚至没有姓名，他们活着只为杀戮。,166,10,15,4,0,0,110;210;255;300;0;0;0,出战,我的利刃为你所用。
10021,酒馆兔女郎B,10021,20003,2042,1,陪酒女,人类,女,落寞贵族的女儿，父亲在讨伐魔铁巨像的战斗中阵亡了。至少她自己是这么说的。,169,11.1,15,3,0,0,0;8;11;22;0;0;0,,有什么可以为您服务的？
10023,酒馆兔女郎D,10021,20003,1158,1,陪酒女,人类,女,她擅长唱歌，但只在喝醉时才唱。不过这都不重要，D才是重点。,188,9.7,15,3,0,0,0;7;10;20;0;0;0,,有什么可以为您服务的？
10026,苏罗斯,10026,,1105,1,商人,人类,男,一位善于投机的商人，曾经导致世界陷入前所未有的矿石危机，导致大批的精灵和矮人失业。,206,10.5,15,4,0,0,110;210;255;300;0;0;0,,市场总是错的。
10027,异国传教士,10027,,1050,1,牧师,人类,男,他从西方大陆来到这里，并且他一直尝试说服你和你的队伍信仰一头山猪。,196,10,15,4,0,0,110;210;255;300;0;0;0,,我的主啊，保佑我。
10030,圣诞老人,10030,20004,1157,1,商场职员,人类,男,每年只干那么几天！却总能为商场带去大量血钻。但是，据说商场去年的工钱还没结给他。,166,9.5,15,4,0,0,110;210;255;300;0;0;0,,圣诞快乐。
10034,丛林密语者,10034,,1164,1,斥候,精灵,女,他们在丛林中讲传播着信息，当然，主要是八卦。,154,9.4,15,4,0,0,110;210;255;300;0;0;0,,嘘，你的声音太大了。
10083,光之祭司,10083,,1167,1,祭司,神族,女,光之祭司通常都是光之族穷人家的小女孩，大约100岁时加入教会，然后要为教会服务大约3000年。,145,10.2,15,5,0,0,110;210;255;300;0;0;0,,光之降临
10084,森林座狼,10084,,1047,1,野兽,野兽,无,兽王猎天赋点满可以抓来当宠物，兽人可以拿来当坐骑。,160,9.7,15,4,0,0,110;210;255;300;0;0;0,出战,嗷呜~
10085,撕咬蜘蛛,10085,,1096,1,节肢动物,虫族,无,就目前的资料来看，撕咬蜘蛛很少织网。捕捉猎物主要靠飞扑。,162,8.7,15,3,0,0,110;210;255;300;0;0;0,出战,……
10086,风蛇,10086,,1092,1,怪物,野兽,无,奇怪的生物，不知何时起就出现在大路上。,144,9.2,15,3,0,0,110;210;255;300;0;0;0,,嘶……
10087,厄运花,10087,,1085,1,食人花,植物,无,厄运花曾经代表着经验。,134,9.7,15,3,0,0,110;210;255;300;0;0;0,,……
10088,人族步兵,10088,,1128,1,士兵,人族,男,没有什么比遇到25个人类步兵更糟糕的事情了！呃……也许是遇到40个？,168,10.2,15,5,0,0,110;210;255;300;0;0;0,,For the king！
10089,喵星人,0,20006,1042,1,宠物,野兽,无,养猫注意事项一、它朝你卖萌，表示它需要食物。,116,9.2,15,5,0,0,110;210;255;300;0;0;0,,征服地球。喵~
10090,汪星人,0,20006,1041,1,宠物,野兽,无,汪~汪~~汪~~~,121,8.7,15,5,0,0,110;210;255;300;0;0;0,,征服地球。汪汪~
10091,剧毒史莱姆,10091,,1087,1,怪物,怪物,无,升级后获得剧毒属性的史莱姆，通常负责给勇者送更多经验。,106,8.7,15,3,0,0,110;210;255;300;0;0;0,,我负责给勇者送更多的经验。
10092,吸血蝙蝠,10092,,1089,1,怪物,野兽,无,吸血蝙蝠有着非常让人厌恶的攻击方式。,136,9.2,15,4,0,0,110;210;255;300;0;0;0,出战,……（我说什么你听不见）
10004,艾丽娜,10004,,1004,2,剑客,人类,女,为了精进自己的剑术，离开故乡，开始了漂泊的生涯。,225,10.8,50,5,0,100,17;50;70;90;8300;462;0,,你的剑就是我的剑。
10020,酒馆兔女郎A,10020,20003,2041,2,陪酒女,人类,女,她热衷于各种名牌包包。如果你愿意送她的话，她就愿意做任何事。同时，她是A。所以她似乎从来没有收到过什么礼物。,183,11.1,50,3,0,0,0;6;9;18;0;0;0,,有什么可以为您服务的？
10022,酒馆兔女郎C,10021,20003,1120,2,陪酒女,人类,女,她在形象方面下了很多功夫，不明白的人总会以为他是英雄级的。,169,11.1,50,3,20,100,0;5;8;16;0;0;0,,有什么可以为您服务的？
10024,皇家女仆,10024,,1118,2,女仆,人类,女,她很贵，并且只为出的起血钻的人服务。,228,11,50,5,20,100,17;50;70;90;8300;462;0,,放着我来。
10093,千颂伊,10093,20007,2040,2,明星,人类,女,"韩流女神,但是没有常识，也没有朋友，常常一说话就闹笑话，被网民封为靠“无知闻名”的代表。",150,10.6,50,5,20,100,17;50;70;90;8300;462;0,,初雪，怎能没有炸鸡和啤酒？
10094,信仰战,10094,,1123,2,战士,人类,男,你的护甲毫无用处，你的信仰一文不值。,283,11.1,50,5,20,100,17;50;70;90;8300;462;0,,你的护甲毫无用处，你的信仰一文不值。
10095,武僧,10095,,2002,2,僧侣,人类,男,控制自己，掌控敌人。,255,11.1,50,5,20,100,17;50;70;90;8300;462;0,,我用双手成就你的梦想。
10096,寇马克,10096,20010,1055,2,骑士,人类,男,寇马克是为了正义而战的圣堂骑士。他的信念无可动摇。,183,11.1,50,5,10,100,17;50;70;90;8300;462;0,,愿圣光与你同在！
10097,林登,10097,20010,2032,2,潜行者,人类,男,林登不断游走各地，诈人钱财、四处风流，乘人不备搜刮酒水黄金。,169,11.1,50,5,10,100,17;50;70;90;8300;462;0,,小心你的背后。
10098,艾琳娜,10098,20010,1142,2,女巫,人类,女,和蔼可亲的单纯少女，战斗时却坚毅果敢，强大的魔法毫不留情地将敌人撕碎。,157,11.1,50,5,10,100,17;50;70;90;8300;462;0,,希望引导着我。
10099,魅魔,10099,,1084,2,女妖,魔族,女,魅魔充满着性感与诱惑。这种集狡猾、美丽于一身的恶魔强大、致命、美丽。恶魔的身材，喜欢SM的皮鞭。,97,11.6,50,5,20,100,17;50;70;90;8300;462;0,,这会有点疼。
10100,宁采臣,10100,20008,1114,2,书生,人类,男,浙江人氏宁采臣，为人慷慨豪爽，方正自重。,107,10.1,50,5,20,100,0;0;0;14;0;0;0,出战,小倩你在哪里呀？
10101,聂小倩,10101,20008,1162,2,美女,鬼族,女,一个美貌女鬼却本性善良。,228,11.1,50,5,20,100,0;0;0;10;0;0;0,出战,找到了真正的爱情，不管是人是魔，根本没有分别。
10102,潘凤,10102,20009,1023,2,上将,人类,男,无双上将潘凤。充满传奇的一生至今仍为后人津津乐道。,245,10.1,50,5,20,100,17;50;70;90;8300;462;0,,吾乃上将潘凤，可斩…呃…
10103,曹性,10103,20009,1117,2,弓神,人类,男,银河射手曹性。充满传奇的一生至今仍为后人津津乐道。,217,10.6,50,5,20,100,17;50;70;90;8300;462;0,,吾乃银河射手曹性。
10104,夏侯恩,10104,20009,1127,2,剑神,人类,男,宇宙剑神夏侯恩。充满传奇的一生至今仍为后人津津乐道。,206,10.1,50,5,20,100,17;50;70;90;8300;462;0,,吾乃宇宙剑圣夏侯恩。
10035,恐怖毒尾蝎,10035,,1095,2,昆虫,昆虫,无,丛林中的潜伏者，被咬上一口的话足以致命。,307,10.5,50,5,20,100,17;50;70;90;8300;462;0,出战,让敌人品尝我的剧毒吧。
10036,黑色屠杀者,10036,,1109,2,战士,人类,无,他已经数不清自己已经杀了多少人了，在他面前生命就是灰尘，轻轻一抹就会消散。,172,11.4,50,5,20,100,17;50;70;90;8300;462;0,出战,世上没一个人都有罪，都该杀。
10037,火山怒龙,10037,20005,1086,2,龙,龙类,无,生活在火山上的巨龙，怒吼时可以引起火山喷发。,188,11,50,5,20,100,17;50;70;90;8300;462;0,出战,品尝我的愤怒吧。
10038,疾风怒龙,10038,20005,1082,2,龙,龙类,无,据说这是世界上最快的龙，被攻击者通常几乎还没反应过来已经被掀到半空中了。,200,11.1,50,5,20,100,17;50;70;90;8300;462;0,,唯快不破。
10061,热焰火精灵,10061,,1161,2,祭司,元素生物,女,来自异世界的智慧生物，小心别被他的热焰吞没。,337,12.7,50,4,20,100,17;50;70;90;8300;462;0,出战,燃烧吧。
10040,超能力小孩,10040,,1099,2,熊孩子,超能力者,女,在受到威胁时，他会将自己分成数个。敌人几乎无法搞清哪个才是本尊。,195,11.1,50,5,20,100,17;50;70;90;8300;462;0,,让我看看有什么好玩的。
10039,冰封怒龙,10039,20005,1169,3,龙,龙类,无,表皮由于坚冰变的十分坚硬，几乎没有物体可以穿透他。,241,12.2,500,5,20,500,3;7;10;15;3000;107;500,,冬天来了。
10041,兰斯洛特,10041,,2001,3,骑士,人类,男,圆桌骑士团中最著名的骑士，曾经以一人之力斩杀了上千只魔化人。被称为“骑士之花”。,384,12.2,250,5,20,500,3;7;10;15;3000;107;500,,随风而起，随心而止。
10042,行者武松,10042,,2002,3,战士,人类,男,武家次子，击杀橙色野外BOSS杀人虎后，盛名远扬。,259,12.3,250,5,20,500,3;7;10;15;3000;107;500,,我要杀了那对狗男女。
10043,貂蝉,10043,20001,2003,3,舞者,人类,女,惊艳的姿色让人看过一眼就无法忘怀，素来有“闭月”之称。玲珑的身材却拥有能够倾覆一个时代的力量。,211,12.3,250,5,10,500,0;0;0;5;30;30;30,出战,奴家失礼了。
10044,乱马·男,10044,20021,2004,3,武道家,人类,男,因为掉入咒泉乡的“娘溺泉”，变成了“遇到冷水就会变成女孩、遇到热水就会变回男孩”的体质,285,12.3,250,5,20,500,3;7;10;15;3000;107;500,,"如果我讨厌她,就不会这么烦恼了!"
10045,关云长,10045,20002,2005,3,战士,人类,男,早年卖过绿豆，后来成为了武圣。多读书，多看报，多练武，他总是这样教导年轻人。,304,12.3,250,5,20,500,3;7;10;15;3000;107;500,,关羽在此，尔等受死！
10046,都敏俊,10046,20007,2006,3,讲师,外星人,男,400年前坠落在朝鲜的外星人，带着他迄今为止4个世纪的秘密，独自在韩国首尔的天空下生活着。,238,12.4,250,5,20,500,3;7;10;15;3000;107;500,,在我存在的世界，就算我消失，世界依然如故，只有我会被忘却。
10047,桂小太郎,10047,,2007,3,革命家,人类,男,"由于正被幕府通缉和进行各种活动, 因此经常变装, 如海盗、和尚、侍应、忍者等。",222,12.4,250,5,20,500,3;7;10;15;3000;107;500,,即使是在逃亡的时刻，也一定不能忘记一颗冷笑话的心。
10048,吕奉先,10048,20001,2008,3,狂战士,人类,男,武器是方天画戟，特长是战斗，弱点是天真！,404,12.4,250,5,20,500,3;7;10;15;3000;107;500,出战,谁能挡我！
10049,柯南,10049,,2009,3,名侦探,人类,男,其真身为一名高中生，人称平成年代的福尔摩斯，日本警(fei)察(wu)的救世主。,204,12.5,250,5,20,500,3;7;10;15;3000;107;500,,真相只有一个。
10050,奥巴马,10050,,2010,3,政客,咴,男,一匹自由自在的马。,104,12.5,250,5,20,500,3;7;10;15;3000;107;500,,打你咋滴。
10051,黄忠,10051,20002,2011,3,神射手,人类,男,黄忠在弓术方面被世人称颂，但其刀术也出类拔萃曾已赤血刀斩杀数千魔化人。,196,12.5,250,5,20,500,3;7;10;15;3000;107;500,,百步穿杨！
10052,张翼德,10052,20002,2012,3,战士,人类,男,著名的军事家，书法家。在战斗方面能够胜过他的只有5人……,304,12.5,250,5,20,500,3;7;10;15;3000;107;500,,燕人张飞在此！
10053,丹妮莉丝,10053,20012,2013,3,龙之母,人类,女,丹妮莉丝身材娇小且美貌绝伦。她有着银金色的头发和紫色的眼睛。,204,12.5,250,5,10,500,3;7;10;15;3000;107;500,出战,王权没有永恒。
10054,路西法,10054,20014,2014,3,恶魔,魔族,男,原为上帝身边最美丽最权势者，因为拒绝臣服于圣子而举起翻旗，最终被认定为恶魔的化身。,226,12.5,250,5,20,500,3;7;10;15;3000;107;500,出战,你可知我等了你多少个轮回？
10055,赵子龙,10055,20002,2015,3,游侠,人类,男,不管多艰苦的战斗他都从来不曾受伤。,254,12.5,250,5,20,500,3;7;10;15;3000;107;500,,吾乃常山赵子龙也！
10056,美杜莎,10056,,2016,3,诅咒师,魔族,女,原本是美丽的人类女性却因为得罪了雅典娜被变化成为可怕的魔物，被永世的孤独所缠绕。,204,12.5,250,5,20,500,3;7;10;15;3000;107;500,出战,你敢盯着我看？
10057,宫本武藏,10057,,2017,3,大剑豪,人类,男,一位传奇人物，二刀流的创造者，除了剑术，还在体术，手里剑，兵法方面极有造诣。,202,12.5,250,5,20,500,3;7;10;15;3000;107;500,出战,坚信不疑的信念，都要实际去体验。
10058,甄姬,10058,,2018,3,舞者,人类,女,传说中洛神下凡，世上唯一一个曾拒绝封后的女子。真性情，烈女子！,190,12.6,250,5,10,500,3;7;10;15;3000;107;500,,髣髴兮若轻云之蔽月。
10059,哆啦A梦,10059,,2019,3,万能,机器人,男,未来科技的结晶，会掏出各种各样奇怪的道具。如果被铃铛被拿掉就会野化。,195,12.6,250,5,20,500,3;7;10;15;3000;107;500,,啊~~~~有老鼠！！！
10060,马超,10060,20002,2020,3,战士,人类,男,被世人称为“狮盔银甲玉面郎”的强大武士。在剑法方面有非常高的造诣。,186,12.6,250,5,20,500,3;7;10;15;3000;107;500,,全军突击！
10063,哈桑萨巴赫,10063,,2024,3,刺客,人类,男,刺客联盟的真正的幕后组织者，别号“山中老人”。据说从来没有人真正见过他。,156,12.7,250,5,20,500,3;7;10;15;3000;107;500,出战,你已经死了。
10066,海格利斯,10066,,2027,3,狂战士,永恒,男,用理智的丧失换来了至高的战斗力，拥有死亡后自动使肉体苏生的能力，肉体中储存着11个生命的能量。,484,13.6,250,5,10,500,3;7;10;15;3000;107;500,出战,我拥有无尽的力量。
10064,高文,10064,,2025,3,骑士,人类,男,圆桌骑士团的成员，外形俊美，剑技高超，被称为“少女的骑士”。,361,12.9,250,5,20,500,3;7;10;15;3000;107;500,,信仰给予我力量。
10062,亚瑟,10062,,2023,4,大领主,人类,男,圆桌骑士团的首领，据说他持有一把圣剑，能够驱逐以太潮汐带来的影响。,247,12.9,3000,5,60,6000,1;2;3;4;550;18;108,,去获得机会，这样你才不会后悔。 
10065,织田信长,10065,,2026,4,大领主,人类,男,自称第六天魔王，崇尚武家政权。心在天下。,402,13.7,3000,5,60,6000,0;1;1;2;275;9;54,出战,人生五十年，往事恍如梦幻。有生亦有死，壮士复何憾。
10067,伊斯力,10067,,2028,4,大领主,人类,男,又称“白银之王”或“北之伊士利”。性格温和，剑术卓越。,352,14,3000,5,60,6000,1;2;3;4;550;18;108,出战,无能既是罪！
10068,奥丁,10068,,2029,4,大领主,神族,男,传说中的至高神，被视作诸神之王，也是死者之王。,382,14,3000,5,60,6000,1;2;3;4;550;18;108,,我是雷电之王!
10069,C.C,10069,20013,2030,4,魔女,人类,女,拥有不死神力的魔女。,202,14.1,3000,5,0,6000,1;2;3;4;550;18;108,,你知道雪为什么是白色的吗？
10070,魔神撒旦,10070,20014,2031,4,魔神,魔族,男,大名鼎鼎的反派角色。诱惑人类吃下了禁果。,303,14.2,3000,5,60,6000,1;2;3;4;550;18;108,出战,你为什么召唤我？
10071,卓戈卡奥,10071,20012,2032,4,大领主,人类,男,东方大陆多斯拉克人的部落首领，在所有的战斗中从未失败，统领极具战斗力的军队。,315,14.4,3000,5,60,6000,1;2;3;4;550;18;108,,我生命中的月亮。 
10072,圣女贞德,10072,,2033,4,大领主,人类,女,有着强烈神感的少女。手持虹之宝剑，为了自由而战。,382,14.4,3000,5,0,6000,0;0;0;0;0;0;0,,所有的狂热信仰都带着夸张。
10073,魔化西德列,10073,,2034,4,罪犯,半魔族,男,由于以太潮汐的影响而逃脱的暴力罪犯，危险度300%,312,14.4,3000,5,60,6000,1;2;3;4;550;18;108,,服从还是死亡，或者两者都是。
10074,尼基塔米亚,10074,20015,2035,4,元素领主,元素生物,虚无,已经统领了元素诸国大约30个世纪，而且似乎并没有什么衰败的迹象。,382,14.4,3000,5,60,6000,1;2;3;4;550;18;108,出战,只有死亡才是永恒。
10075,星美451,10075,,2036,4,革命者,克隆人,女,反抗“统一部”的克隆人，用一次演讲使世界发生了惊天的变化。,259,14.5,3000,5,60,6000,1;2;3;4;550;18;108,,星星美丽，因为里面有一朵看不见的花。
10076,鲁路修,10076,20013,2037,4,皇子,人类,男,皇子，黑色骑士团CEO，反叛势力的领袖。,303,14.6,3000,5,0,6000,0;1;1;2;275;9;54,,只为死而生，实在太悲哀了。
10077,结城·明日奈,10077,,2038,4,副团长,人类,女,名为艾丝娜的萌少女，无比强大的泡菜玩家！,281,14.6,3000,5,30,6000,1;2;3;4;550;18;108,,我们的时间不多了。
10078,武田信玄,10078,,2039,4,军事家,人类,男,武田信玄信奉孙子兵法所倡导的“其疾如风，其徐如林，侵略如火，不动如山。”在作战方面异常强悍，令敌人闻风丧胆。,293,14.6,3000,5,60,6000,1;2;3;4;550;18;108,,此身此骨归于天地，不沾红尘，独自风流。
10105,法爷,10105,20011,1122,5,法师,人类,女,法爷谦卑内敛的个性深受大家喜爱。口头禅：“噢，糟了”“打得不错。”,623,14.8,9000,5,233,18000,0;0;0;0;34;2;3,出战,打得不错。
10106,亚里士多德,10106,,1168,5,科学家,人类,男,古代先哲，古希腊人，世界古代史上伟大的哲学家、科学家和教育家之一，堪称希腊哲学的集大成者。,568,15.4,9000,5,0,18000,0;0;0;0;34;2;3,,谬误有多种多样，而正确却只有一种。
10107,雷锋,10107,,1011,5,军人,人类,男,他是全心全意为人民服务的同志、伟大的共产主义战士。,618,14.8,9000,5,233,18000,0;0;0;0;34;2;3,,为人民服务！
10108,莉娜,10108,,1161,5,魔导士,人类,女,她一位非常强大的法师，她以打击盗贼（其实是为了他们的财宝）和屠龙（一不小心毁灭了边上的城市）而著称。,592,15.4,9000,5,155,18000,0;0;0;0;34;2;3,,我是天才美少女魔导士^^
10201,服部半藏,10201,,2201,2,忍者,人类,男,服部半藏和他旗下的杀手集团一贯行事低调，所以很少有人知道他们的名号，但在生意上的确对刺客联盟造成了不小的竞争,242,10,50,5,20,100,17;50;70;90;8300;462;0,,遇到什么麻烦了吗？
10202,钢锻精英卫士,10202,,2202,2,战士,人类,男,穿着非常重量级的装甲，以至于无法好好蹲下。真正的装备党。,175,10.1,50,5,20,100,17;50;70;90;8300;462;0,,我的盔甲坚固无比。
